zo,zd,n,distance_m,crow_m,rung
8,15,751,25949,15696,measured
8,16,50,29955,14685,measured
8,17,31398,6884,6072,measured
8,18,68009,2240,2199,measured
8,19,2885,10223,7728,measured
9,0,9391,7469,7580,measured
9,1,13820,9212,7409,measured
9,2,15859,7132,7648,measured
9,3,40651,2867,3443,measured
9,4,37396,3701,3137,measured
9,5,12905,7995,6344,measured
9,6,26996,5398,4535,measured
9,7,24597,3836,3793,measured
9,8,4417,13374,9691,measured
9,9,155067,1977,0,measured
9,10,9953,7521,6205,measured
9,11,27313,4020,4793,measured
9,12,12049,6040,5472,measured
9,13,14982,5521,4246,measured
9,14,29081,3938,3007,measured
9,15,7059,8413,6027,measured
9,16,475,6777,7780,measured
9,17,39558,4171,4202,measured
9,18,3915,11731,7701,measured
9,19,8375,2828,2168,measured
10,0,1914,14252,10648,measured
10,1,1528,17696,12236,measured
10,2,4847,12341,8872,measured
10,3,3603,8724,7072,measured
10,4,44425,3283,3078,measured
10,5,1512,18993,12515,measured
10,6,2037,14581,10740,measured
10,7,21692,5908,4638,measured
10,8,626,25613,15186,measured
10,9,9668,7404,6205,measured
10,10,82049,2223,0,measured
10,11,13280,5574,4550,measured
10,12,869,14690,11339,measured
10,13,6215,11175,7494,measured
10,14,2870,15142,8588,measured
10,15,29958,3569,3074,measured
10,16,756,4182,4011,measured
10,17,3091,10751,9122,measured
10,18,296,22312,13466,measured
10,19,385,11527,8332,measured
11,0,12359,6339,6137,measured
11,1,6017,9014,8173,measured
11,2,40921,4504,4406,measured
11,3,32733,3632,3259,measured
11,4,28034,3515,3327,measured
11,5,3179,12064,9895,measured
11,6,3927,9993,8541,measured
11,7,4727,8333,6362,measured
11,8,1267,13168,11394,measured
11,9,31411,3683,4793,measured
11,10,12949,5885,4550,measured
11,11,59333,2118,0,measured
11,12,3301,9266,8186,measured
11,13,2380,15551,8393,measured
11,14,2474,12737,7799,measured
11,15,5054,11110,6717,measured
11,16,769,3820,3433,measured
11,17,19868,5887,5467,measured
11,18,690,11802,10020,measured
11,19,834,7184,6176,measured
12,0,11900,6891,5995,measured
12,1,72491,3945,3330,measured
12,2,6985,9860,8035,measured
12,3,11049,6376,4956,measured
12,4,2115,9586,8324,measured
12,5,62004,2693,2149,measured
12,6,45913,3092,2506,measured
12,7,1458,13298,9121,measured
12,8,35040,5851,4328,measured
12,9,12323,6156,5472,measured
12,10,928,16545,11339,measured
12,11,2953,9544,8186,measured
12,12,70496,1835,0,measured
12,13,3131,11520,8357,measured
12,14,7530,6924,5421,measured
12,15,1149,19564,11498,measured
12,16,83,16126,11619,measured
12,17,58968,3436,2865,measured
12,18,20532,3683,2235,measured
12,19,6772,3743,3419,measured
13,0,918,20947,11783,measured
13,1,2363,16644,11087,measured
13,2,1730,22107,11839,measured
13,3,1932,12633,7689,measured
13,4,6394,9047,5394,measured
13,5,7327,10308,8161,measured
13,6,11342,8714,6271,measured
13,7,32645,4104,2873,measured
13,8,2006,17076,12647,measured
13,9,16303,5442,4246,measured
13,10,6808,11296,7494,measured
13,11,2651,15536,8393,measured
13,12,2841,11448,8357,measured
13,13,91115,1980,0,measured
13,14,39683,3453,3004,measured
13,15,7228,8852,5401,measured
13,16,112,15591,10582,measured
13,17,3457,12304,8144,measured
13,18,877,15466,10464,measured
13,19,1956,8498,5196,measured
14,0,2394,13413,9616,measured
14,1,7465,11476,8357,measured
14,2,2173,19783,10290,measured
14,3,4285,8333,5979,measured
14,4,5479,8323,5729,measured
14,5,13659,6244,5176,measured
14,6,32276,3824,3269,measured
14,7,15951,6198,4691,measured
14,8,4472,13865,9669,measured
14,9,29410,3846,3007,measured
14,10,2738,14826,8588,measured
14,11,2356,12708,7799,measured
14,12,7423,6264,5421,measured
14,13,39347,3418,3004,measured
14,14,70445,1892,0,measured
14,15,3482,12732,7422,measured
14,16,55,18487,10717,measured
14,17,9521,7475,5733,measured
14,18,2347,11949,7478,measured
14,19,5357,3780,2629,measured
15,0,2594,19037,12336,measured
15,1,1854,22692,13165,measured
15,2,4896,16736,11102,measured
15,3,2733,13239,8249,measured
15,4,17008,4313,3759,measured
15,5,1908,19085,12172,measured
15,6,2126,16057,10246,measured
15,7,21436,3786,2742,measured
15,8,694,25972,15696,measured
15,9,6174,8467,6027,measured
15,10,31655,3533,3074,measured
15,11,4524,10833,6717,measured
15,12,1020,18681,11498,measured
15,13,7094,8845,5401,measured
15,14,3891,13146,7422,measured
15,15,43408,2124,0,measured
15,16,233,8478,7054,measured
15,17,2652,15857,9899,measured
15,18,373,24098,13728,measured
15,19,367,13134,8132,measured
16,0,73,11391,8798,measured
16,1,113,14289,11376,measured
16,2,243,8700,6289,measured
16,3,127,7068,6678,measured
16,4,588,4605,5213,measured
