dt,h,factor,factor_raw,cells,journeys
mon_wed,0,0.9653213426946834,0.9678082191780822,239,90461
mon_wed,1,0.9594340768244219,0.9585798816568047,205,53991
mon_wed,2,0.9580626739407683,0.9582623509369677,167,35457
mon_wed,3,0.9654638168593348,0.9640522875816994,149,25814
mon_wed,4,0.9738432569812289,0.9756975697569757,155,27343
mon_wed,5,1.0016343603213749,1.0013755158184319,169,40335
mon_wed,6,1.0252165142819336,1.0289630155727498,232,74816
mon_wed,7,1.0442947630276123,1.052572706935123,273,135238
mon_wed,8,1.0480579473309202,1.0600472901470566,280,184930
mon_wed,9,1.0367480691339168,1.043028685790527,281,175281
mon_wed,10,1.0314665663052724,1.0337799231772464,276,153259
mon_wed,11,1.0219395013600074,1.024743512371756,277,144687
mon_wed,12,1.017514124853361,1.0192145907232688,272,145990
mon_wed,13,1.0114962282557576,1.0140744699804027,279,146893
mon_wed,14,1.0163333403493957,1.0204971785165857,284,164024
mon_wed,15,1.016280439502265,1.0203460555884958,282,171804
mon_wed,16,1.0168332228961148,1.0208062418725619,289,178653
mon_wed,17,1.0150004129513532,1.0199819985563852,292,199236
mon_wed,18,0.9985520076877739,1.000614376407946,295,201552
mon_wed,19,0.9851687177313984,0.9847991885982159,286,183895
mon_wed,20,0.9747551258168957,0.973626740773426,290,159258
mon_wed,21,0.9702898430275895,0.9705031810294968,287,154616
mon_wed,22,0.9694615070638621,0.9706015317519413,282,150543
mon_wed,23,0.9691252814978117,0.9709664039817503,273,127382
sat,0,1.034490684872486,1.0371557565359002,238,77515
sat,1,1.0280952049243197,1.0271798799665035,208,61796
sat,2,1.0266402501878817,1.026854219948849,175,46272
sat,3,1.027053666653358,1.0255520916643543,156,32797
sat,4,1.0341547003117724,1.036123853211009,133,20173
sat,5,1.0009794027943586,1.0007207275469465,126,15511
sat,6,0.9434071227390518,0.9468546637744034,143,17137
sat,7,0.8779206003804225,0.8848797250859106,167,24028
sat,8,0.8580656383913534,0.8678815489749431,181,32502
sat,9,0.9055359830967171,0.9110217173343014,194,40931
sat,10,0.9286863876534502,0.9307692307692308,205,47896
sat,11,0.9503347589345956,0.9529422999146182,206,52259
sat,12,0.9675582286870558,0.9691752084466908,212,55250
sat,13,0.9730631052095601,0.9755433832654559,214,58412
sat,14,0.9513043467725826,0.9552017662416158,220,62754
sat,15,0.9493493250260266,0.9531471840984382,231,64274
sat,16,0.9422116359866133,0.9458930899608866,225,65785
sat,17,0.9452858326379997,0.9499252615844545,239,69818
sat,18,0.9903604160842883,0.9924058662241948,240,74433
sat,19,1.0211393339837196,1.0207563125518024,248,73925
sat,20,1.032861964975896,1.0316663149481307,236,68224
sat,21,1.0443830220225228,1.0446126509202645,246,71586
sat,22,1.0429748412459614,1.0442013129102845,253,73745
sat,23,1.0425307244670337,1.044511300965922,240,75657
sun,0,0.9559903581687605,0.9584531960186411,168,33444
sun,1,0.9590322761015332,0.95817843866171,135,20530
sun,2,0.9552894244532646,0.955488523455829,102,13473
sun,3,0.9588755864230407,0.9574736892828155,84,10037
sun,4,1.0206094392558098,1.0225528003754694,140,23456
sun,5,0.990476009837798,0.9902200488997555,135,17308
sun,6,0.9228308604115643,0.9262032085561497,139,17598
sun,7,0.8301507433994414,0.8367312047135591,160,23965
sun,8,0.8069327114928005,0.8161636828644502,178,31854
sun,9,0.8613228703899184,0.8665407617248977,193,43261
sun,10,0.8998213956914296,0.9018395008605853,206,54097
sun,11,0.9114913359313572,0.9139922978177151,205,56623
sun,12,0.9214305397794378,0.9229704311147167,210,59045
sun,13,0.9332435371724983,0.9356223175965666,223,59167
sun,14,0.9231840792016217,0.9269662921348315,225,62431
sun,15,0.9136505394145392,0.9173055859802848,227,64485
sun,16,0.9102356242779801,0.9137921400633264,222,64479
sun,17,0.9113059057634992,0.9157785624481716,222,65426
sun,18,0.9409138177112459,0.9428571428571428,227,65262
sun,19,0.9684483638413016,0.9680851063829787,223,61137
sun,20,0.9901160280570472,0.9889698610990403,214,56708
sun,21,0.9950193199565603,0.9952380952380953,213,56592
sun,22,0.9850512566333385,0.9862096138691884,213,53317
sun,23,0.9729076250191443,0.9747559331145121,202,47275
thu_fri,0,1.0186789210042122,1.0213032581453634,253,103613
thu_fri,1,1.0169467927180342,1.0160413933195276,220,76421
thu_fri,2,1.0154133701169448,1.015625,181,55579
thu_fri,3,1.0104011689472931,1.0089239402752073,164,40092
thu_fri,4,0.9780227863770717,0.9798850574712644,149,20804
thu_fri,5,1.0031305956784982,1.0028713645152,162,26745
thu_fri,6,1.009438831281546,1.0131276753761471,224,46749
thu_fri,7,1.0123701688881706,1.0203950520613823,268,81925
thu_fri,8,1.0167251571902907,1.0283560660445084,275,112152
thu_fri,9,1.0309019019325574,1.037147102526003,275,110821
thu_fri,10,1.0405811807721999,1.042914979757085,269,98875
thu_fri,11,1.0456972153679338,1.0485664131070802,269,97002
thu_fri,12,1.0390964588711074,1.0408329930583913,263,99105
thu_fri,13,1.0375563376830659,1.0402010050251256,269,102100
